"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F0C0","2019-09-18 00:00:00","983.000","0.000","0.000","20.200","0.990","901.700","-99.000","0.000","-99.000","-99.000","-99.000","26.900","","19.500",""
"C0U860","2019-09-18 00:00:00","5.000","92.000","2.700","27.100","0.690","1010.600","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","23.800",""
"C0UA50","2019-09-18 00:00:00","808.000","307.000","3.800","19.100","0.990","921.900","-99.000","0.500","9.300","293.000","","21.700","","17.900",""
"C0T960","2019-09-18 00:00:00","120.000","202.000","0.900","22.400","0.990","996.600","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","21.500",""
"C0SA80","2019-09-18 00:00:00","136.000","273.000","0.600","23.900","0.950","993.900","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","23.300",""
"C0E780","2019-09-18 00:00:00","160.000","274.000","0.500","23.800","0.790","991.100","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","21.200",""
"C0F9Q0","2019-09-18 00:00:00","149.000","289.000","1.300","23.900","0.800","991.300","-99.000","0.000","7.500","1.000","","31.000","","22.300",""
"C0F9X0","2019-09-18 00:00:00","166.000","28.000","4.000","24.700","0.720","990.400","-99.000","0.000","9.600","25.000","","29.900","","23.300",""
"C0F0D0","2019-09-18 00:00:00","3171.000","115.000","5.200","9.800","0.540","698.500","-99.000","0.000","-99.000","-99.000","-99.000","17.100","","7.900",""
"C0S730","2019-09-18 00:00:00","110.000","30.000","11.200","26.400","0.780","995.600","-99.000","0.000","17.100","22.000","","28.100","","25.800",""
"C0T790","2019-09-18 00:00:00","2830.000","128.000","2.300","9.700","0.730","727.800","-99.000","0.000","-99.000","-99.000","-99.000","20.800","","8.800",""
"C0M830","2019-09-18 00:00:00","540.000","343.000","0.400","22.700","0.990","950.100","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","21.100",""
"C0V750","2019-09-18 00:00:00","50.000","354.000","1.900","27.600","1.000","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.400",""
"C0K530","2019-09-18 00:00:00","12.000","32.000","3.800","26.400","0.700","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","30.100","","24.500",""
"C0G850","2019-09-18 00:00:00","62.000","20.000","0.600","26.900","0.780","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","26.300",""
"C0M780","2019-09-18 00:00:00","30.000","63.000","1.100","25.200","0.760","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","24.000",""
"C0V360","2019-09-18 00:00:00","94.000","0.000","0.200","24.500","0.970","997.800","-99.000","0.500","-99.000","-99.000","-99.000","33.200","","23.900",""
"C0K510","2019-09-18 00:00:00","10.000","15.000","2.400","25.900","0.660","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","24.100",""
